iter	Passed	Remaining
699	4637	1987
700	4643	1980
701	4649	1973
702	4655	1967
703	4662	1960
704	4668	1953
705	4674	1946
706	4680	1939
707	4686	1932
708	4692	1926
709	4699	1919
710	4705	1912
711	4711	1905
712	4717	1898
713	4723	1891
714	4729	1885
715	4735	1878
716	4742	1871
717	4747	1864
718	4753	1857
719	4760	1851
720	4766	1844
721	4773	1837
722	4779	1831
723	4785	1824
724	4791	1817
725	4797	1810
726	4804	1804
727	4810	1797
728	4816	1790
729	4822	1783
730	4828	1776
731	4834	1769
732	4841	1763
733	4847	1756
734	4853	1750
735	4860	1743
736	4866	1736
737	4872	1729
738	4878	1723
739	4884	1716
740	4891	1709
741	4896	1702
742	4903	1696
743	4910	1689
744	4916	1682
745	4922	1676
746	4928	1669
747	4935	1662
748	4941	1656
749	4948	1649
750	4954	1642
751	4960	1635
752	4966	1629
753	4972	1622
754	4978	1615
755	4985	1608
756	4991	1602
757	4998	1595
758	5004	1588
759	5010	1582
760	5016	1575
761	5022	1568
762	5029	1562
763	5035	1555
764	5041	1548
765	5048	1542
766	5053	1535
767	5059	1528
768	5066	1521
769	5072	1515
770	5078	1508
771	5084	1501
772	5090	1494
773	5097	1488
774	5103	1481
775	5109	1475
776	5115	1468
777	5121	1461
778	5128	1454
779	5133	1448
780	5140	1441
781	5145	1434
782	5152	1427
783	5158	1421
784	5164	1414
785	5170	1407
786	5176	1401
787	5182	1394
788	5189	1387
789	5195	1380
790	5201	1374
791	5207	1367
792	5213	1360
793	5219	1354
794	5226	1347
795	5232	1340
796	5238	1334
797	5245	1327
798	5251	1321
799	5257	1314
800	5264	1307
801	5270	1301
802	5276	1294
803	5282	1287
804	5288	1281
805	5294	1274
806	5300	1267
807	5306	1260
808	5312	1254
809	5318	1247
810	5325	1241
811	5336	1235
812	5347	1229
813	5361	1225
814	5370	1219
815	5376	1212
816	5383	1205
817	5391	1199
818	5398	1192
819	5405	1186
820	5412	1180
821	5419	1173
822	5425	1166
823	5432	1160
824	5438	1153
825	5445	1147
826	5452	1140
827	5458	1133
828	5464	1127
829	5470	1120
830	5478	1114
831	5486	1107
832	5493	1101
833	5500	1094
834	5506	1088
835	5512	1081
836	5518	1074
837	5525	1068
838	5531	1061
839	5537	1054
840	5544	1048
841	5549	1041
842	5556	1034
843	5562	1028
844	5568	1021
845	5576	1015
846	5583	1008
847	5592	1002
848	5598	995
849	5604	989
850	5610	982
851	5616	975
852	5622	968
853	5628	962
854	5634	955
855	5640	948
856	5646	942
857	5652	935
858	5658	928
859	5664	922
860	5670	915
861	5676	908
862	5682	902
863	5689	895
864	5694	888
865	5700	882
866	5706	875
867	5712	868
868	5718	862
869	5724	855
870	5730	848
871	5737	842
872	5743	835
873	5749	828
874	5755	822
875	5760	815
876	5767	808
877	5773	802
878	5779	795
879	5785	788
880	5792	782
881	5798	775
882	5804	769
883	5811	762
884	5818	756
885	5824	749
886	5832	742
887	5838	736
888	5846	729
889	5852	723
890	5858	716
891	5865	710
892	5871	703
893	5878	696
894	5885	690
895	5892	683
896	5899	677
897	5905	670
898	5912	664
899	5919	657
900	5925	651
901	5931	644
902	5938	637
903	5945	631
904	5951	624
905	5957	618
906	5963	611
907	5969	604
908	5975	598
909	5981	591
910	5987	584
911	5994	578
912	6000	571
913	6006	565
914	6013	558
915	6019	551
916	6025	545
917	6031	538
918	6038	532
919	6044	525
920	6050	518
921	6056	512
922	6062	505
923	6068	499
924	6075	492
925	6081	486
926	6088	479
927	6094	472
928	6100	466
929	6107	459
930	6113	453
931	6118	446
932	6125	439
933	6131	433
934	6138	426
935	6144	420
936	6151	413
937	6158	407
938	6164	400
939	6171	393
940	6178	387
941	6184	380
942	6190	374
943	6196	367
944	6204	361
945	6210	354
946	6217	347
947	6223	341
948	6230	334
949	6237	328
950	6244	321
951	6251	315
952	6258	308
953	6264	302
954	6271	295
955	6277	288
956	6284	282
957	6290	275
958	6296	269
959	6303	262
960	6309	256
961	6316	249
962	6322	242
963	6328	236
964	6334	229
965	6340	223
966	6347	216
967	6353	210
968	6359	203
969	6365	196
970	6371	190
971	6377	183
972	6383	177
973	6390	170
974	6397	164
975	6402	157
976	6409	150
977	6415	144
978	6421	137
979	6427	131
980	6433	124
981	6439	118
982	6446	111
983	6451	104
984	6457	98
985	6464	91
986	6471	85
987	6478	78
988	6484	72
989	6491	65
990	6496	59
991	6502	52
992	6509	45
993	6514	39
994	6520	32
995	6526	26
996	6532	19
997	6538	13
998	6544	6
999	6550	0
